,Lat,Lon,Time.Range,Vessel.ID,Flag,Vessel.Name,Entry.Timestamp,Exit.Timestamp,Gear.Type,Vessel.Type,MMSI,IMO,CallSign,First.Transmission.Date,Last.Transmission.Date,Apparent.Fishing.Hours,vessel_record_id,shipname,n_shipname,n_callsign,imo,flag,first_timestamp,last_timestamp,geartype,length_m,tonnage_gt,engine_power_kw,is_fishing,is_carrier,is_bunker
3882,2.2,-89.02,2022-06-23,8f9216109-91c8-57cf-7bf2-198fe36b0bee,ECU,FIORELLA L,2022-06-22 23:00:00,2022-06-24 06:00:00,tuna_purse_seines,Fishing,735057790,741547400,HC2453,2020-08-01 14:07:46,2023-08-10 11:49:30,1.97,IATTC-3610|IMO-7415474,FIORELLA L,FIORELLAL,HC2453,7415474,ECU,2020-09-29 19:59:21 UTC,2022-06-30 22:00:12 UTC,tuna_purse_seines,39.4,476.4,982.1,true,false,false
3883,2.25,-89.22,2022-06-30,ed60a688c-ce73-9f30-773f-09503c5ff751,ECU,ANTONIO H,2022-02-25 22:00:00,2022-06-30 21:00:00,tuna_purse_seines,Fishing,735059236,0,NA,2021-02-16 19:35:35,2023-07-31 20:31:48,0.02,IATTC-15576|IMO-8908686,ANTONIOH,ANTONIOH,HC5489,8908686,ECU,2021-02-16 19:41:01 UTC,2022-06-30 20:25:28 UTC,tuna_purse_seines,43,607,1051.9,true,false,false
3884,2.64,-92.23,2022-08-06,3f979bc38-8c71-2ac0-d8d8-be0b5984383e,ECU,MARIA ISABEL,2022-08-05 13:00:00,2022-08-08 00:00:00,tuna_purse_seines,Fishing,735057736,7113832,HC2533,2021-05-14 17:31:20,2023-08-12 11:13:32,0.67,IATTC-1513|IMO-7113832,MARIAISABEL,MARIAISABEL,HC2533,7113832,ECU,2021-05-14 22:16:11 UTC,2022-06-30 18:37:12 UTC,purse_seines,39.1,339.3,699.4,true,false,false
3885,2.76,-91.86,2022-08-05,3f979bc38-8c71-2ac0-d8d8-be0b5984383e,ECU,MARIA ISABEL,2022-08-05 13:00:00,2022-08-08 00:00:00,tuna_purse_seines,Fishing,735057736,7113832,HC2533,2021-05-14 17:31:20,2023-08-12 11:13:32,0.99,IATTC-1513|IMO-7113832,MARIAISABEL,MARIAISABEL,HC2533,7113832,ECU,2021-05-14 22:16:11 UTC,2022-06-30 18:37:12 UTC,purse_seines,39.1,339.3,699.4,true,false,false
3886,2.42,-90.36,2022-10-06,55c37401d-d672-cee8-2043-6ab508d4a2d7,ECU,NA,2022-10-06 12:00:00,2022-10-06 12:00:00,tuna_purse_seines,Fishing,735057701,NA,NA,2016-05-15 03:29:19,2022-10-17 03:20:43,0,IATTC-3838|IMO-7327885,ALIZE,ALIZE,HC2920,7327885,ECU,2020-09-30 12:45:28 UTC,2022-06-27 02:52:01 UTC,tuna_purse_seines,51.4,810,1339.1,true,false,false
3887,1.84,-90.48,2022-11-05,c5f9c52d3-33f0-dcb0-9411-1a2fae43db78,ECU,B/P.ARIETE,2022-11-04 22:00:00,2022-11-05 15:00:00,tuna_purse_seines,Fishing,735057785,921228000,HC-4807,2021-12-30 15:27:19,2023-08-09 21:32:00,0.22,IATTC-3682|IMO-9212280,ARIETE,ARIETE,HC4807,9212280,ECU,2021-12-30 18:40:31 UTC,2022-06-30 23:09:12 UTC,tuna_purse_seines,43.4,718.5,954.9,true,false,false
3888,2.03,-89.39,2022-12-19,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,1.13,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3889,2.85,-90.36,2022-12-18,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.46,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3890,2.43,-88.56,2022-03-11,e3213d1bd-dfde-2d2d-940d-6a0ec18edcd1,ECU,OCEAN LADY,2022-03-11 14:00:00,2022-03-15 09:00:00,tuna_purse_seines,Fishing,735058456,7927817,HC5023,2021-03-27 16:29:03,2023-06-18 00:09:52,0.65,IATTC-13720|IMO-7927817,OCEAN LADY,OCEANLADY,HC5023,7927817,ECU,2021-03-27 16:37:50 UTC,2022-06-30 22:41:07 UTC,purse_seines,33.6,425.5,NA,true,false,false
3891,2.96,-89.79,2022-05-22,73e228ac7-731f-b399-6a97-b61061ab48ec,ECU,JOLINDA,2022-05-22 02:00:00,2022-05-22 14:00:00,tuna_purse_seines,Fishing,735059299,0,HC56O1,2020-03-06 23:22:54,2022-06-16 03:44:53,1.02,IATTC-2797|IMO-7202293,JO LINDA,JOLINDA,HC56O1,7202293,ECU,2020-03-06 23:24:08 UTC,2022-06-30 21:17:34 UTC,tuna_purse_seines,40.2,463.3,1069.7,true,false,false
3892,2.22,-89.17,2022-06-30,ed60a688c-ce73-9f30-773f-09503c5ff751,ECU,ANTONIO H,2022-02-25 22:00:00,2022-06-30 21:00:00,tuna_purse_seines,Fishing,735059236,0,NA,2021-02-16 19:35:35,2023-07-31 20:31:48,1.44,IATTC-15576|IMO-8908686,ANTONIOH,ANTONIOH,HC5489,8908686,ECU,2021-02-16 19:41:01 UTC,2022-06-30 20:25:28 UTC,tuna_purse_seines,43,607,1051.9,true,false,false
3893,2.75,-91.87,2022-08-05,3f979bc38-8c71-2ac0-d8d8-be0b5984383e,ECU,MARIA ISABEL,2022-08-05 13:00:00,2022-08-08 00:00:00,tuna_purse_seines,Fishing,735057736,7113832,HC2533,2021-05-14 17:31:20,2023-08-12 11:13:32,0.78,IATTC-1513|IMO-7113832,MARIAISABEL,MARIAISABEL,HC2533,7113832,ECU,2021-05-14 22:16:11 UTC,2022-06-30 18:37:12 UTC,purse_seines,39.1,339.3,699.4,true,false,false
3894,2.78,-91.75,2022-09-03,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.91,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3895,2.23,-90.99,2022-09-24,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,1.14,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3896,2.04,-89.36,2022-09-16,37ab2c12a-aa92-55ea-056a-117f603eb213,USA,CAPE COD,2022-09-16 16:00:00,2022-09-16 22:00:00,tuna_purse_seines,Fishing,367640000,7806283,WDD5547,2017-11-17 14:51:33,2023-08-13 21:13:33,1.05,FFA-33176|IATTC-3406|IMO-7806283|USA-599831|WCPFC-8725,CAPE COD,CAPECOD,WDD5547,7806283,USA,2017-11-17 14:51:35 UTC,2022-06-30 23:38:41 UTC,tuna_purse_seines,63.2,1196,2685.6,true,false,false
3897,2.13,-89.01,2022-10-09,52789dbe8-885e-5203-70f7-2f8dd1def8a4,ECU,LIZANNY Z,2022-10-09 05:00:00,2022-10-09 15:00:00,tuna_purse_seines,Fishing,735059363,731174500,HC-5808,2021-09-11 10:16:42,2023-08-13 23:58:36,0.96,IATTC-16322|IMO-7311745,LIZANNY Z,LIZANNYZ,HC5808,7311745,ECU,2021-09-12 00:08:28 UTC,2022-06-30 23:18:16 UTC,trawlers|tuna_purse_seines,46.4,671.5,1477.2,true,false,false
3898,2.74,-89.89,2022-01-24,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.5,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3899,2.52,-88.86,2022-01-24,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,1.11,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3900,2.69,-88.55,2022-02-17,f5aafcc13-3bf9-23c8-a2dd-c6cb9061c7d0,ECU,EILEEN MARIE,2022-02-15 21:00:00,2022-03-13 11:00:00,tuna_purse_seines,Fishing,735057623,886948800,HC4568,2021-01-13 21:42:45,2023-07-27 16:24:02,1.03,IATTC-3166|IMO-8869488,EILEEN MARIE,EILEENMARIE,HC4568,8869488,ECU,2021-01-15 13:47:07 UTC,2022-06-29 12:01:48 UTC,tuna_purse_seines,44,585.3,1592,true,false,false
3901,2.67,-88.51,2022-02-17,f5aafcc13-3bf9-23c8-a2dd-c6cb9061c7d0,ECU,EILEEN MARIE,2022-02-15 21:00:00,2022-03-13 11:00:00,tuna_purse_seines,Fishing,735057623,886948800,HC4568,2021-01-13 21:42:45,2023-07-27 16:24:02,0.87,IATTC-3166|IMO-8869488,EILEEN MARIE,EILEENMARIE,HC4568,8869488,ECU,2021-01-15 13:47:07 UTC,2022-06-29 12:01:48 UTC,tuna_purse_seines,44,585.3,1592,true,false,false
3902,1.99,-90.44,2022-03-03,0a381f02f-faff-58e1-d03b-7747f0839925,ECU,B/P MONTECRISTI,2022-03-03 05:00:00,2022-03-03 10:00:00,tuna_purse_seines,Fishing,735057555,0,HC2353,2020-08-12 14:17:58,2023-08-13 23:59:37,1.79,IATTC-4000|IMO-7415462,MONTE CRISTI,MONTECRISTI,HC2353,7415462,ECU,2020-08-12 14:55:22 UTC,2022-06-30 22:18:47 UTC,tuna_purse_seines,39.4,628.5,NA,true,false,false
3903,2.5,-88.62,2022-06-22,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.66,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3904,2.47,-91.76,2022-09-24,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,1,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3905,2.2,-90.88,2022-09-24,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.99,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3906,1.87,-89.91,2022-09-02,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.8,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3907,2.58,-90.43,2022-11-15,5486988f2-23a6-2cee-1b22-84352f5c88a6,ECU,DOMENICA L,2022-06-06 10:00:00,2022-11-15 04:00:00,tuna_purse_seines,Fishing,735057650,8000886,HC-2877,2021-01-09 12:57:48,2023-08-10 18:48:10,0.49,IATTC-3385|IMO-8000886,DOMENICAL,DOMENICAL,HC2877,8000886,ECU,2020-09-17 19:55:33 UTC,2022-06-30 22:56:25 UTC,tuna_purse_seines,34.6,320.8,982.1,true,false,false
3908,2.08,-89.41,2022-12-19,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,1.7,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3909,2.95,-90.51,2022-12-18,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.29,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3910,2.2,-89.55,2022-02-27,ed60a688c-ce73-9f30-773f-09503c5ff751,ECU,ANTONIO H,2022-02-25 22:00:00,2022-06-30 21:00:00,tuna_purse_seines,Fishing,735059236,0,NA,2021-02-16 19:35:35,2023-07-31 20:31:48,2.37,IATTC-15576|IMO-8908686,ANTONIOH,ANTONIOH,HC5489,8908686,ECU,2021-02-16 19:41:01 UTC,2022-06-30 20:25:28 UTC,tuna_purse_seines,43,607,1051.9,true,false,false
